TABLE 2(II).B-H  SECTORAL BACKGROUND DATA FOR  INDUSTRIAL PROCESSES AND PRODUCT USE,,,,,,Inventory 1990
Sources of fluorinated substances,,,,,,Submission 2023 v3
(Sheet 1 of 2),,,,,,NEW ZEALAND
,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Gas (please specify),ACTIVITY  DATA,,IMPLIED EMISSION FACTORS(1) ,EMISSIONS,
,One row per substance,,,,Emissions(2),Recovery(3)
,,Description,(t),(kg/t),(t),(t)
B.   Chemical industry,,,,,,
9. Fluorochemical production,,,,,,
By-product emissions,,,,,,
Production of HCFC-22,,Production of HCFC-22,,,,
Other (please specify - one row per substance),,Production,,,,
Fugitive emissions(4)  ,,,,,,
Production of HFC-134a,,Production of HFC-134a,,,,
Production of SF6,,Production of SF6,,,,
Other (please specify - one row per substance),,Production,,,,
C.   Metal production ,,,,,,
3. Production of aluminium,,,,,,
By-product emissions,,Production of primary aluminium,,,,
CF4,CF4,Production of primary aluminium,264083.00,0.40,105.63,NO
C2F6,C2F6,Production of primary aluminium,264083.00,0.04,10.60,NO
F-gases used in foundries(5),,Amount of aluminium casted,,,,
4. Magnesium production(6),,Amount of magnesium casted,,,,
SF6,SF6,Amount of magnesium casted,NA,NA,0.12,NA
7. Other  (please specify - one row per substance),,,,,,
E.  Electronics industry(7),,,,,,
1.  Integrated circuit or semiconductor,,Consumption,,,,
2.  TFT flat panel display,,Consumption,,,,
3.  Photovoltaics,,Consumption,,,,
4.  Heat transfer fluid,,Consumption,,,,
5. Other (please specify - one row per substance)(8),,Consumption,,,,
,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 2.,,,,,,
